"state","hhold_size_cat","AGE5P","number_of_people"
"Western Australia","Medium (2 - 5 people)","45_49",129352
"Western Australia","Medium (2 - 5 people)","50_54",126952
"Western Australia","Medium (2 - 5 people)","55_59",115804
"Western Australia","Medium (2 - 5 people)","60_64",103246
"Western Australia","Medium (2 - 5 people)","65_69",87799
"Western Australia","Medium (2 - 5 people)","70_74",74215
"Western Australia","Medium (2 - 5 people)","75_79",47614
"Western Australia","Medium (2 - 5 people)","80+",46894
"Western Australia","Large (6+ people)","0_4",17844
"Western Australia","Large (6+ people)","5_9",23558
"Western Australia","Large (6+ people)","10_14",25141
"Western Australia","Large (6+ people)","15_19",18855
"Western Australia","Large (6+ people)","20_24",11301
"Western Australia","Large (6+ people)","25_29",7982
"Western Australia","Large (6+ people)","30_34",9688
"Western Australia","Large (6+ people)","35_39",12172
"Western Australia","Large (6+ people)","40_44",11511
"Western Australia","Large (6+ people)","45_49",9087
"Western Australia","Large (6+ people)","50_54",6209
"Western Australia","Large (6+ people)","55_59",3942
"Western Australia","Large (6+ people)","60_64",2989
"Western Australia","Large (6+ people)","65_69",2487
"Western Australia","Large (6+ people)","70_74",1860
"Western Australia","Large (6+ people)","75_79",978
"Western Australia","Large (6+ people)","80+",851
